id_parlamentar_voz,casa,ano,uf,id_partido,total_votos,total_votos_uf
1141464,camara,2018,CE,36844,74099,4594520
1141470,camara,2018,CE,36844,173039,4594520
1204386,camara,2018,GO,36769,96188,3031194
1204472,camara,2018,MT,36896,82528,1481262
1204391,camara,2018,GO,36896,61809,3031194
1160619,camara,2018,BA,36834,99535,6868013
174079,camara,2018,PA,36899,154647,3956457
1204555,camara,2018,AM,36844,197270,1762933
174554,camara,2018,BA,37906,84016,6868013
1209189,camara,2018,BA,36844,73934,6868013
174141,camara,2018,BA,36844,115571,6868013
1204563,camara,2018,MA,37906,195768,3270678
1204474,camara,2018,MT,36899,49912,1481262
1204420,camara,2018,PB,36837,71899,1989377
174317,camara,2018,PI,36834,110804,1787802
1204372,camara,2018,DF,36815,79775,1439876
173586,camara,2018,MG,36832,58413,10078120
1204457,camara,2018,RJ,36769,45087,7720770
1204520,camara,2018,MG,36837,158541,10078120
1204497,camara,2018,PA,36834,146678,3956457
1204574,camara,2018,MA,37906,117033,3270678
1204550,camara,2018,CE,37907,67917,4594520
1178886,camara,2018,MA,36769,97075,3270678
1204536,camara,2018,SP,36769,465310,21104181
1151208,camara,2018,SE,37903,68014,998669
198057,camara,2018,MG,36815,103090,10078120
1160534,camara,2018,ES,37906,51983,1933018
1178832,camara,2018,PR,36851,123958,5731922
1204375,camara,2018,AP,36898,11301,364871
1204359,camara,2018,RO,36896,69565,783305
1204547,camara,2018,MG,36837,51073,10078120
174156,camara,2018,MG,36844,68686,10078120
174299,camara,2018,CE,36786,102417,4594520
192102,camara,2018,BA,36769,82110,6868013
1139285,camara,2018,BA,36832,104348,6868013
174585,camara,2018,MG,37906,105731,10078120
1204405,camara,2018,RS,36832,52977,5845077
1204382,camara,2018,MS,36837,56339,1240027
1196358,camara,2018,RJ,36837,41307,7720770
1204523,camara,2018,MG,37901,64022,10078120
1204404,camara,2018,RS,36835,114346,5845077
1178879,camara,2018,GO,36765,78431,3031194
174478,camara,2018,PE,36837,117943,4331764
1178931,camara,2018,PR,36832,98214,5731922
1178954,camara,2018,RO,36899,38630,783305
1204381,camara,2018,DF,36769,65107,1439876
1160510,camara,2018,MG,36898,50474,10078120
1204410,camara,2018,PR,36845,90249,5731922
1204448,camara,2018,RJ,37902,50284,7720770
1160645,camara,2018,AP,36835,14069,364871
1204485,camara,2018,SP,37906,75218,21104181
1204543,camara,2018,SP,36832,86433,21104181
1178982,camara,2018,SP,36832,75535,21104181
1204455,camara,2018,RJ,36837,115119,7720770
1162332,camara,2018,PR,37906,73344,5731922
1204526,camara,2018,SP,36837,118457,21104181
174784,camara,2018,SP,36839,176883,21104181
1204418,camara,2018,PR,36815,141730,5731922
1178866,camara,2018,CE,36844,173777,4594520
1166402,camara,2018,GO,37906,88894,3031194
1204458,camara,2018,RJ,36837,57611,7720770
1204469,camara,2018,AC,36815,7489,424991
1204471,camara,2018,AC,36835,40047,424991
1212749,camara,2018,RJ,37906,40901,7720770
1156190,camara,2018,RS,37901,349855,5845077
1179000,camara,2018,MG,36837,230008,10078120
1146788,camara,2018,MG,36793,107219,10078120
1205863,camara,2018,RS,36837,24820,5845077
1204433,camara,2018,RJ,37905,50533,7720770
176874,camara,2018,RJ,36839,342491,7720770
1133810,camara,2018,RS,36845,69904,5845077
1204558,camara,2018,BA,36832,115277,6868013
1204556,camara,2018,AM,37906,106805,1762933
1178983,camara,2018,SP,37906,135844,21104181
1179001,camara,2018,RS,36899,100362,5845077
181055,camara,2018,MA,36779,134223,3270678
1204452,camara,2018,RJ,36837,46934,7720770
1150418,camara,2018,BA,36815,95204,6868013
1204522,camara,2018,SP,36834,137628,21104181
1160535,camara,2018,RS,36844,122838,5845077
1204431,camara,2018,PI,36899,73302,1787802
1204506,camara,2018,SP,36815,139165,21104181
1178943,camara,2018,RJ,36769,44262,7720770
1159238,camara,2018,MG,36835,72099,10078120
1204430,camara,2018,PI,37903,76338,1787802
1171619,camara,2018,MG,36844,89378,10078120
174398,camara,2018,RS,36844,97303,5845077
1204540,camara,2018,SP,36815,71745,21104181
1178956,camara,2018,RO,36835,38776,783305
1204428,camara,2018,PE,36844,193108,4331764
1204432,camara,2018,PI,36846,70828,1787802
174158,camara,2018,MG,36786,89046,10078120
1178858,camara,2018,BA,37903,102512,6868013
1204403,camara,2018,RS,36786,116483,5845077
