id_proposicao_voz,id_votacao,casa,obj_votacao,data_hora,votacao_secreta,apelido,status_importante,url_votacao
1946494,167612120,camara,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,2019-03-26T21:20:00Z,0,PEC do Orçamento Impositivo - 2º Turno,1,NA
1946494,167612104,camara,"DTQ. 1 - BLOCO PSL - §11 DO ART. 165, CONST. DO ART. 1º DO SUBSTITUTIVO",2019-03-26T21:04:00Z,0,NA,0,NA
1946494,167612109,camara,"DTQ. 2 - BLOCO PSL - EXP. ""NOS TERMOS DE LEI COMPLEMENTAR"", ...",2019-03-26T21:09:00Z,0,NA,0,NA
1946494,167612052,camara,SUBSTITUTIVO DA COMISSÃO ESPECIAL,2019-03-26T20:52:00Z,0,PEC do Orçamento Impositivo - 1º Turno,1,NA
1946494,167612117,camara,EMENDAS DE REDAÇÃO DE NºS 1 A 4,2019-03-26T21:17:00Z,0,NA,0,NA
11672576,167541722,camara,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-03-20T17:22:00Z,0,NA,0,NA
11672576,167541738,camara,REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,2019-03-20T17:38:00Z,0,NA,0,NA
11672576,167521917,camara,REQUERIMENTO DE RETIRADA DE PAUTA,2019-03-19T19:17:00Z,0,NA,0,NA
11672576,167521839,camara,REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA,2019-03-19T18:39:00Z,0,NA,0,NA
11672576,167612023,camara,"DTQ 15 - PSOL - EXP ""181"" CONST. DO INC. III, DO ART. 10 DO SUBSTITUTIVO",2019-03-26T20:23:00Z,0,NA,0,NA
11672576,167552030,camara,DTQ 23 - PT - EMENDA DE PLENÁRIO Nº 17,2019-03-20T20:30:00Z,0,NA,0,NA
11672576,167541651,camara,REQUERIMENTO DE RETIRADA DE PAUTA,2019-03-20T16:51:00Z,0,NA,0,NA
11672576,167532027,camara,REQUERIMENTO DE ENCERRAMENTO DA DISCUSSÃO E DO ENCAMINHAMENTO,2019-03-19T20:27:00Z,0,NA,0,NA
11672576,167552050,camara,DTQ 28 - BLOCO PDT - EMENDA DE PLENÁRIO Nº 3,2019-03-20T20:50:00Z,0,NA,0,NA
11672576,167541852,camara,SUBEMENDA SUBSTITUTIVA GLOBAL DE PLENÁRIO,2019-03-20T18:52:00Z,0,NA,0,NA
11672576,167541810,camara,"VOTAÇÃO DA ADMISSIBILIDADE, EM GLOBO, DOS DESTAQUES SIMPLES",2019-03-20T18:10:00Z,0,NA,0,NA
11672576,167541940,camara,"DTQ 31 - NOVO - EXP ""BRASILEIROS MEDIANTE CONTRATO DE TRABALHO....""",2019-03-20T19:40:00Z,0,NA,0,NA
11672576,167601836,camara,"DTQ 33 - PPS - EXP ""ESTABELECIDOS NA LEGISLAÇÃO E REGULAMENTAÇÃO....""",2019-03-26T18:36:00Z,0,NA,0,NA
11672576,167552007,camara,REQUERIMENTO DE RETIRADA DE PAUTA,2019-03-20T20:07:00Z,0,NA,0,NA
11672576,167601800,camara,DTQ 35 - BLOCO PSL- EMENDA DE PLENÁRIO Nº 15,2019-03-26T18:00:00Z,0,NA,0,NA
12075448,169962040,camara,REQUERIMENTO DE RETIRADA DE PAUTA,2019-11-26T20:40:00Z,0,NA,0,NA
12082511,170012231,camara,DTQ 2 - PSL - EMENDA DE PLENÁRIO Nº 2,2019-11-27T22:31:00Z,0,NA,0,NA
12083376,167301033,camara,REQUERIMENTO DE RETIRADA DE PAUTA,2019-02-14T10:33:00Z,0,NA,0,NA
12136580,168962210,camara,DTQ. 2 - PSL - ART.4º DO PL,2019-08-14T22:10:00Z,0,NA,0,NA
12147241,168592030,camara,PROJETO DE LEI,2019-07-09T20:30:00Z,0,NA,0,NA
12147241,168591741,camara,REQUERIMENTO DE RETIRADA DE PAUTA,2019-07-09T17:41:00Z,0,NA,0,NA
12147241,168581620,camara,REQ. DE VOT. NOMINAL DO REQ. DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-07-09T16:20:00Z,0,NA,0,NA
12147241,169022255,camara,DTQ 2 - PT - §1º DO ART. 1º DO PL Nº 6.298/2016 APENSADO,2019-08-20T22:55:00Z,0,NA,0,NA
12147241,168591905,camara,REQ. DE VOTAÇÃO EM GLOBO DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,2019-07-09T19:05:00Z,0,NA,0,NA
12147241,168591817,camara,REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,2019-07-09T18:17:00Z,0,NA,0,NA
12147241,168591940,camara,VOTAÇÃO EM GLOBO  DA ADMISSIBILIDADE DOS DESTAQUES SIMPLES,2019-07-09T19:40:00Z,0,NA,0,NA
12147241,169022236,camara,"DTQ 6 - PT - EXP ""E ESPORTIVAS"", CONST. DO ART. 1º DA LEI 13.364/16...",2019-08-20T22:36:00Z,0,NA,0,NA
12147241,169022317,camara,DTQ 4 - PT - ART. 4º DO PL 8.240/17,2019-08-20T23:17:00Z,0,NA,0,NA
12158536,168581423,camara,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 8240/17,2019-07-09T14:23:00Z,0,NA,0,NA
12158716,169552258,camara,PROPOSTA DE EMENDA À CONSTITUIÇÃO - PRIMEIRO TURNO,2019-10-09T22:58:00Z,0,NA,0,NA
12158716,169832318,camara,PROPOSTA DE EMENDA A CONSTITUIÇÃO - SEGUNDO TURNO,2019-11-06T23:18:00Z,0,NA,0,NA
12158716,169832334,camara,"DTQ 1 - PL - EXP: ""ALÉM DE OUTRAS ATRIBUIÇÕES...""",2019-11-06T23:34:00Z,0,NA,0,NA
12160860,167341919,camara,DTQ. 10 - PSOL - ART. 1º DO SUBSTITUTIVO,2019-02-19T19:19:00Z,0,NA,0,NA
12160860,167351702,camara,DTQ. 6 - PT - ART. 4º DA LEI 12.414/2011 CONST. DO ART. 2º DO SUBTITUTIVO,2019-02-20T17:02:00Z,0,NA,0,NA
12160860,167351743,camara,DTQ. 14 - PP - EMENDA DE PLENÁRIO Nº 10,2019-02-20T17:43:00Z,0,NA,0,NA
12160860,167351811,camara,DTQ. 7 - PDT - EMENDA DE PLENÁRIO Nº 6,2019-02-20T18:11:00Z,0,NA,0,NA
12160860,167351844,camara,"DTQ. 12 - PT - INC. V, CONST. DO ART. 5º DA LEI Nº 12.414/2011",2019-02-20T18:44:00Z,0,NA,0,NA
12160860,167351938,camara,DTQ. 11 - PCdoB - ART. 16 DA LEI Nº 12.414/2011,2019-02-20T19:38:00Z,0,NA,0,NA
12160860,167362029,camara,DTQ. 5 - PT - EMENDA DE PLENÁRIO Nº 2,2019-02-20T20:29:00Z,0,NA,0,NA
12160860,167362049,camara,"DTQ. 1 - PSB - INC. III, DO ART. 3º",2019-02-20T20:49:00Z,0,NA,0,NA
12160860,167341815,camara,EMENDAS DE NºS 6 E 8 COM PARECER PELA REJEIÇÃO,2019-02-19T18:15:00Z,0,NA,0,NA
12160860,167351906,camara,"DTQ. 15 - PSB - §7º DO ART. 12 DA LEI Nº 12.414/2011, CONT. NO ART. 2º DO PLP",2019-02-20T19:06:00Z,0,NA,0,NA
12160860,167351622,camara,REQUERIMENTO DE RETIRADA DE PAUTA,2019-02-20T16:22:00Z,0,NA,0,NA
12160860,167362006,camara,REQUERIMENTO DE RETIRADA DE PAUTA,2019-02-20T20:06:00Z,0,NA,0,NA
12163986,169611854,camara,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7.789/2017,2019-10-16T18:54:00Z,0,NA,0,NA
12164719,169611911,camara,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 7.843/2017,2019-10-16T19:11:00Z,0,NA,0,NA
12165194,170271709,camara,EMENDA Nº 1,2019-12-17T17:09:00Z,0,NA,0,NA
12165194,170271655,camara,REQUERIMENTO DE RETIRADA DE PAUTA,2019-12-17T16:55:00Z,0,NA,0,NA
12165194,170271716,camara,PROPOSTA DE EMENDA À CONSTITUIÇÃO - PRIMEIRO TURNO,2019-12-17T17:16:00Z,0,NA,0,NA
