id_parlamentar_voz,ano,casa,dias_com_sessoes_deliberativas,dias_presentes,dias_ausencias_justificadas,dias_ausencias_nao_justificadas
1160600,2019,camara,113,85,15,13
1160600,2020,camara,102,92,9,1
1160600,2021,camara,79,75,2,2
1160601,2019,camara,113,92,20,1
1160601,2020,camara,102,101,1,0
1160601,2021,camara,77,74,3,0
1160604,2019,camara,113,110,0,3
1160604,2020,camara,102,95,5,2
1160604,2021,camara,79,79,0,0
1160610,2019,camara,113,110,2,1
1160610,2020,camara,102,102,0,0
1160610,2021,camara,79,79,0,0
1160619,2019,camara,113,113,0,0
1160619,2020,camara,102,95,7,0
1160619,2021,camara,79,75,2,2
1160621,2019,camara,1,1,0,0
1160632,2019,camara,113,102,7,4
1160632,2020,camara,102,100,2,0
1160632,2021,camara,79,79,0,0
1160635,2019,camara,113,105,6,2
1160635,2020,camara,102,98,4,0
1160635,2021,camara,34,33,0,1
1160639,2019,camara,113,96,10,7
1160639,2020,camara,102,100,2,0
1160639,2021,camara,79,78,0,1
1160640,2019,camara,113,94,12,7
1160640,2020,camara,102,98,4,0
1160640,2021,camara,79,60,19,0
1160641,2019,camara,113,107,6,0
1160641,2020,camara,102,99,2,1
1160641,2021,camara,79,78,1,0
1160642,2019,camara,113,106,3,4
1160642,2020,camara,102,87,15,0
1160642,2021,camara,79,79,0,0
1160645,2019,camara,113,103,4,6
1160645,2020,camara,102,93,3,6
1160645,2021,camara,68,67,0,1
1160651,2019,camara,113,106,7,0
1160651,2020,camara,84,83,1,0
1160651,2021,camara,79,77,2,0
1160653,2019,camara,113,96,17,0
1160653,2020,camara,102,102,0,0
1160653,2021,camara,79,73,6,0
1160655,2019,camara,113,95,10,8
1160655,2020,camara,102,93,5,4
1160655,2021,camara,79,77,0,2
1160665,2019,camara,113,95,18,0
1160665,2020,camara,102,100,2,0
1160665,2021,camara,79,77,0,2
1160666,2019,camara,113,105,8,0
1160666,2020,camara,102,97,4,1
1160666,2021,camara,79,78,0,1
1160667,2019,camara,65,44,3,18
1160667,2020,camara,102,80,8,14
1160667,2021,camara,79,72,1,6
1160669,2019,camara,113,72,18,23
