id_parlamentar,casa,ano,dias_ausencias_justificadas,dias_ausencias_nao_justificadas,dias_com_sessoes_deliberativas,dias_presentes
204351,camara,2020,2,0,78,76
204352,camara,2019,8,1,107,98
204352,camara,2020,1,1,78,76
204353,camara,2019,21,18,107,68
204353,camara,2020,2,1,78,75
204354,camara,2019,14,1,107,92
204354,camara,2020,2,0,78,76
204355,camara,2019,10,3,107,94
204355,camara,2020,4,1,78,73
204356,camara,2019,0,0,107,107
204356,camara,2020,1,0,78,77
204357,camara,2020,0,0,78,78
204358,camara,2019,3,2,107,102
204358,camara,2020,1,1,78,76
204359,camara,2020,3,0,78,75
204360,camara,2019,1,3,107,103
204360,camara,2020,0,0,78,78
204361,camara,2019,11,0,107,96
204361,camara,2020,1,0,78,77
204362,camara,2019,3,0,107,104
204362,camara,2020,1,0,78,77
204363,camara,2019,9,0,107,98
204363,camara,2020,1,0,78,77
204364,camara,2019,2,3,107,102
204364,camara,2020,2,3,78,73
204365,camara,2019,0,0,107,107
204365,camara,2020,0,0,78,78
204366,camara,2019,1,2,107,104
204366,camara,2020,1,0,78,77
204367,camara,2019,5,3,107,99
204367,camara,2020,1,1,78,76
204368,camara,2019,24,0,107,83
204368,camara,2020,8,0,78,70
204369,camara,2019,3,1,107,103
204369,camara,2020,0,1,78,77
204370,camara,2019,1,1,107,105
204370,camara,2020,1,0,78,77
204371,camara,2019,9,1,107,97
204371,camara,2020,1,3,78,74
204372,camara,2019,12,0,107,95
204372,camara,2020,1,0,78,77
204373,camara,2019,6,0,107,101
204373,camara,2020,1,0,78,77
204374,camara,2019,5,0,107,102
204374,camara,2020,1,0,78,77
204375,camara,2020,2,3,78,73
204376,camara,2019,3,2,107,102
204376,camara,2020,1,0,78,77
204377,camara,2019,10,2,107,95
204377,camara,2020,1,3,78,74
204378,camara,2019,6,1,107,100
204378,camara,2020,0,0,78,78
204379,camara,2019,4,8,107,95
204379,camara,2020,10,0,78,68
204380,camara,2019,23,1,107,83
204380,camara,2020,1,4,35,30
204381,camara,2019,14,0,107,93
204381,camara,2020,1,0,78,77
204382,camara,2019,17,10,107,80
204382,camara,2020,2,0,78,76
204383,camara,2019,4,5,107,98
204383,camara,2020,1,0,78,77
204384,camara,2019,0,0,1,1
204384,camara,2020,2,0,26,24
204385,camara,2019,18,4,107,85
204385,camara,2020,2,0,78,76
204386,camara,2019,2,1,107,104
204386,camara,2020,1,1,78,76
204387,camara,2019,3,0,107,104
204387,camara,2020,0,0,78,78
204388,camara,2019,5,0,107,102
204388,camara,2020,1,0,78,77
204389,camara,2019,0,1,107,106
204389,camara,2020,0,1,78,77
204390,camara,2019,0,0,107,107
204390,camara,2020,2,0,78,76
204391,camara,2019,12,0,107,95
204391,camara,2020,1,0,78,77
204392,camara,2019,9,1,107,97
204392,camara,2020,3,0,78,75
204393,camara,2019,5,3,107,99
204393,camara,2020,4,0,78,74
204394,camara,2019,3,3,107,101
204394,camara,2020,1,1,78,76
204395,camara,2019,3,6,107,98
204395,camara,2020,0,1,78,77
204396,camara,2019,4,4,107,99
204396,camara,2020,1,1,78,76
204397,camara,2019,20,0,107,87
204397,camara,2020,4,0,78,74
204398,camara,2019,1,3,107,103
204398,camara,2020,3,0,78,75
204399,camara,2019,1,0,107,106
204399,camara,2020,0,0,78,78
204400,camara,2019,32,0,107,75
204400,camara,2020,0,0,78,78
204403,camara,2019,31,6,107,70
204403,camara,2020,2,3,78,73
204404,camara,2019,1,0,107,106
204404,camara,2020,0,0,78,78
204405,camara,2019,7,0,107,100
204405,camara,2020,2,1,78,75
204406,camara,2019,3,3,107,101
204406,camara,2020,0,1,78,77
204407,camara,2019,6,4,107,97
204407,camara,2020,2,1,78,75
204408,camara,2019,20,3,107,84
204408,camara,2020,3,0,78,75
204409,camara,2019,3,0,107,104
204409,camara,2020,0,0,78,78
204410,camara,2019,9,3,107,95
204410,camara,2020,0,1,78,77
204411,camara,2019,5,9,107,93
204411,camara,2020,4,5,78,69
204412,camara,2019,1,0,107,106
204412,camara,2020,1,0,78,77
204413,camara,2019,7,1,107,99
204413,camara,2020,2,0,78,76
204414,camara,2019,8,1,107,98
204414,camara,2020,1,0,78,77
204415,camara,2019,15,7,107,85
204415,camara,2020,0,0,78,78
204416,camara,2019,6,1,107,100
204416,camara,2020,1,0,78,77
204418,camara,2019,2,0,107,105
204418,camara,2020,1,1,78,76
204419,camara,2019,12,0,107,95
204419,camara,2020,3,1,78,74
204420,camara,2019,4,4,107,99
204420,camara,2020,2,2,78,74
204421,camara,2019,29,1,107,77
204421,camara,2020,33,0,78,45
204422,camara,2019,7,0,107,100
204422,camara,2020,0,0,78,78
204423,camara,2019,32,0,107,75
204423,camara,2020,8,0,78,70
204425,camara,2019,8,8,107,91
204425,camara,2020,5,1,78,72
204426,camara,2019,3,1,107,103
204426,camara,2020,1,0,78,77
204427,camara,2019,10,0,107,97
204427,camara,2020,2,0,78,76
204428,camara,2019,24,3,107,80
204428,camara,2020,2,3,78,73
204429,camara,2019,5,2,107,100
204429,camara,2020,0,0,78,78
204430,camara,2019,9,3,107,95
204430,camara,2020,1,0,78,77
204431,camara,2019,1,4,107,102
204431,camara,2020,1,1,78,76
204432,camara,2019,2,1,107,104
204432,camara,2020,1,0,78,77
204433,camara,2019,15,0,107,92
204433,camara,2020,1,0,78,77
204434,camara,2019,11,2,107,94
204434,camara,2020,2,0,78,76
204435,camara,2019,5,1,107,101
204435,camara,2020,5,1,78,72
204436,camara,2019,12,0,107,95
204436,camara,2020,10,0,78,68
204437,camara,2019,8,16,107,83
204437,camara,2020,1,4,78,73
204438,camara,2019,2,8,107,97
204438,camara,2020,2,0,78,76
204439,camara,2019,2,0,107,105
204439,camara,2020,0,0,78,78
204440,camara,2019,8,2,107,97
204440,camara,2020,1,1,78,76
204441,camara,2019,1,4,107,102
204441,camara,2020,2,3,78,73
204442,camara,2019,11,0,107,96
204442,camara,2020,2,0,78,76
204444,camara,2019,17,5,107,85
204444,camara,2020,1,0,78,77
204446,camara,2019,1,1,107,105
204446,camara,2020,1,0,78,77
204447,camara,2019,20,1,107,86
204447,camara,2020,1,1,78,76
204448,camara,2019,14,1,107,92
204448,camara,2020,5,0,78,73
204449,camara,2019,3,6,107,98
204449,camara,2020,0,0,78,78
204450,camara,2019,10,3,107,94
204450,camara,2020,2,1,78,75
204451,camara,2019,6,0,107,101
204451,camara,2020,0,0,78,78
204452,camara,2019,6,0,107,101
204452,camara,2020,2,0,78,76
204453,camara,2019,8,0,107,99
204453,camara,2020,1,1,78,76
204454,camara,2019,4,1,107,102
204454,camara,2020,8,5,78,65
204455,camara,2019,0,0,107,107
204455,camara,2020,1,0,78,77
204456,camara,2019,5,3,107,99
204456,camara,2020,1,2,78,75
204457,camara,2019,7,0,107,100
204457,camara,2020,0,1,78,77
204458,camara,2019,14,7,82,61
204458,camara,2020,1,2,78,75
204459,camara,2019,11,0,107,96
204459,camara,2020,5,0,78,73
204460,camara,2019,1,4,107,102
